service_id,date,exception_type
47180,20240527,2
47180,20231225,2
47180,20231224,2
47180,20231123,2
47180,20230904,1
47180,20240101,2
47190.122095,20241128,2
47190.122095,20251127,2
47190.122095,20240527,2
47190.122095,20250526,2
47190.122095,20231225,2
47190.122095,20241225,2
47190.122095,20251225,2
47190.122095,20231224,2
47190.122095,20241224,2
47190.122095,20251224,2
47190.122095,20231123,2
47190.122095,20230704,2
47190.122095,20240704,2
47190.122095,20250704,2
47190.122095,20230904,2
47190.122095,20240902,2
47190.122095,20250901,2
47190.122095,20240101,2
47190.122095,20250101,2
47190.122095,20260101,2
47190.122096,20241128,2
47190.122096,20251127,2
47190.122096,20240527,2
47190.122096,20250526,2
47190.122096,20231225,2
47190.122096,20241225,2
47190.122096,20251225,2
47190.122096,20231224,2
47190.122096,20241224,2
47190.122096,20251224,2
47190.122096,20231123,2
47190.122096,20230704,2
47190.122096,20240704,2
47190.122096,20250704,2
47190.122096,20230904,2
47190.122096,20240902,2
47190.122096,20250901,2
47190.122096,20240101,2
47190.122096,20250101,2
47190.122096,20260101,2
47191.122097,20241128,2
47191.122097,20251127,2
47191.122097,20240527,2
47191.122097,20250526,2
47191.122097,20231225,2
47191.122097,20241225,2
47191.122097,20251225,2
47191.122097,20231224,2
47191.122097,20241224,2
47191.122097,20251224,2
47191.122097,20231123,2
47191.122097,20230704,2
47191.122097,20240704,2
47191.122097,20250704,2
47191.122097,20230904,2
47191.122097,20240902,2
47191.122097,20250901,2
47191.122097,20240101,2
47191.122097,20250101,2
47191.122097,20260101,2
47227.122136,20241128,2
47227.122136,20251127,2
47227.122136,20240527,2
47227.122136,20250526,2
47227.122136,20231225,2
47227.122136,20241225,2
47227.122136,20251225,2
47227.122136,20231224,2
47227.122136,20241224,2
47227.122136,20251224,2
47227.122136,20231123,2
47227.122136,20230704,2
47227.122136,20240704,2
47227.122136,20250704,2
47227.122136,20230904,2
47227.122136,20240902,2
47227.122136,20250901,2
47227.122136,20240101,2
47227.122136,20250101,2
47227.122136,20260101,2
47162.122059,20240527,2
47162.122059,20231225,2
47162.122059,20231224,2
47162.122059,20231123,2
47162.122059,20230904,2
47162.122059,20240101,2
47175.122073,20241128,2
47175.122073,20251127,2
47175.122073,20240527,2
47175.122073,20250526,2
47175.122073,20231225,2
47175.122073,20241225,2
47175.122073,20251225,2
47175.122073,20231224,2
47175.122073,20241224,2
47175.122073,20251224,2
47175.122073,20231123,2
47175.122073,20230704,2
47175.122073,20240704,2
47175.122073,20250704,2
47175.122073,20230904,2
47175.122073,20240902,2
47175.122073,20250901,2
47175.122073,20240101,2
47175.122073,20250101,2
47175.122073,20260101,2
47176.122074,20241128,2
47176.122074,20251127,2
47176.122074,20240527,2
47176.122074,20250526,2
47176.122074,20231225,2
47176.122074,20241225,2
47176.122074,20251225,2
47176.122074,20231224,2
47176.122074,20241224,2
47176.122074,20251224,2
47176.122074,20231123,2
47176.122074,20230704,2
47176.122074,20240704,2
47176.122074,20250704,2
47176.122074,20230904,2
47176.122074,20240902,2
47176.122074,20250901,2
47176.122074,20240101,2
47176.122074,20250101,2
47176.122074,20260101,2
47172.122070,20241128,2
47172.122070,20251127,2
47172.122070,20240527,2
47172.122070,20250526,2
47172.122070,20231225,2
47172.122070,20241225,2
47172.122070,20251225,2
47172.122070,20231224,2
47172.122070,20241224,2
47172.122070,20251224,2
47172.122070,20231123,2
47172.122070,20230704,2
47172.122070,20240704,2
47172.122070,20250704,2
47172.122070,20230904,2
47172.122070,20240902,2
47172.122070,20250901,2
47172.122070,20240101,2
47172.122070,20250101,2
47172.122070,20260101,2
47202.122108,20241128,2
47202.122108,20251127,2
47202.122108,20240527,2
47202.122108,20250526,2
47202.122108,20231225,2
47202.122108,20241225,2
47202.122108,20251225,2
47202.122108,20231224,2
47202.122108,20241224,2
47202.122108,20251224,2
47202.122108,20231123,2
47202.122108,20230704,2
47202.122108,20240704,2
47202.122108,20250704,2
47202.122108,20230904,2
47202.122108,20240902,2
47202.122108,20250901,2
47202.122108,20240101,2
47202.122108,20250101,2
47202.122108,20260101,2
